Pref.No,Station Name,City,Acco.
297,Siply Services Pvt. Ltd.,Bangalore,No
298,Smartchain Technologies Pvt. Ltd.,Gurgaon,No
299,SmartHelio Sarl.,NOIDA,No
300,Snap Deal,Gurgaon,No
301,Splashstar Technologies Pvt. Ltd. (FrontRow),Bangalore,No
302,Sproutlife Foods Pvt. Ltd.,Bangalore,No
303,Statwig Technology Services Pvt. Ltd.,Hyderabad,No
304,Sun Mobility,Bangalore,No
305,Supertails-Petfully Yours Private Limited,Bangalore,No
306,Swastik Classes Pvt. Ltd.,New delhi,No
307,Synaptic,Gurgaon,No
308,Synergiz Global Services Pvt. Ltd.,Hyderabad,No
309,Texas Instruments (I) Pvt. Ltd. -Analog,Bangalore,No
310,Texas Instruments (I) Pvt. Ltd. -Digital,Bangalore,No
311,Texmaco Rail & Engineering Ltd.,Kolkata,No
312,Time Tooth,Noida,No
313,TomTom India Pvt. Ltd.,Pune,No
314,Trifacta Inc,Bangalore,No
315,UBER,Hyderabad,No
316,UBS - Group Finance,Mumbai,No
317,UBS - Group Finance,Pune,No
318,UBS - Group RISK,Mumbai,No
319,UBS Business Solutions (India) Private Limited - Group Operations,Pune,No
320,Udaan,Bangalore,No
321,Urban Ladder Home décor Solutions Pvt. Ltd.,Bangalore,No
322,Verzeo Edutech Pvt Ltd -nontech,Bangalore,No
323,Verzeo Edutech Pvt Ltd -Tech,Bangalore,No
324,Viacom 18 Media Pvt. Ltd. - Digital Ventures,Bangalore,No
325,VMware Software India Pvt. Ltd.,Bangalore,No
326,Windscon Tech Pvt. Ltd. - Growth,Mumbai,No
327,Windscon Tech Pvt. Ltd. - Marketing & Design,Mumbai,No
328,Wingman,Bangalore,No
329,"Women Development &Child Welfare Department,",Hyderabad,No
330,Worley Parsons India,Mumbai,No
331,Worley Parsons India,Hyderabad,No
332,Xilinx India Technology Services Pvt. Ltd.,Hyderabad,No
333,Yugabyte,Bangalore,No
334,Yugabyte,Pune,No
335,Zeotap India Pvt. Ltd.,Bangalore,No
336,Zetwerk Manufacturing Businesses Pvt. Ltd.,Mumbai,No
337,ZILLSKILL Technologies Pvt. Ltd.,Bangalore,No
338,Zinnov Management Consulting Pvt. Ltd (IT Project),Bangalore,No
339,"Zinnov Management Consulting Pvt. Ltd., (Non-Tech)",Gurgaon,No
340,"Zinnov Management Consulting Pvt. Ltd., (Non-Tech)",Bangalore,No
341,Zluri,Singapore,No
