Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?
378,Centre for Development of Advanced Computing,Pune,IT,A7,0,0,No
243,Centre For Development Of Imaging Technology,Trivandrum,IT,A7,10000,0,No
4024,Cityflo (Komorebi Tech Solutions Pvt. Ltd.),Mumbai,IT,Any,50000,0,No
3426,Classplus,Noida,IT,"A3 , A7",30000,0,No
2975,ClearTax,Bangalore,IT,"A7 , H103 , H313",25000,0,No
4030,COGOS Technologies Pvt Ltd.,Bangalore,IT,"A3 , A7 , A8 , AA , AnyA3 , AnyA7 , AnyA8 , AnyAA",20000,0,No
3430,Couture AI,Bangalore,IT,"A7 , B4A7",50000,0,No
4813,CueMath Learn Pvt. Ltd,Bangalore,IT,"Any , AnyB4",18000,0,No
4814,Curious Bee Innovations Pvt. Ltd. (Askation),Bangalore,IT,"A7 , B4 , B5",40000,0,No
4088,Dreamplug Technologies,Bangalore,IT,"B4A4 , B3A7 , B2A8",12000,12000,No
4857,Eatgood Technologies Pvt Ltd,Bangalore,IT,Any,40000,0,No
2561,Ecom Express Pvt. Ltd.,New delhi,IT,Unavailable,Unavailable,Unavailable,No
3384,eGovernments Foundation,Bangalore,IT,"A3 , A7 , C6",30000,0,No
3919,Emptycup Innovation Pvt. Ltd. - Tech (Nedo Software),Bangalore,IT,A7,35000,0,No
4025,Energy Exemplar,Pune,IT,"A3 , A7 , B3 , B4",40000,0,No
4078,Everwell Health Solution,Bangalore,IT,A7,40000,0,No
4895,FamPay Pvt. Ltd. - IT,Bangalore,IT,"A7 , Any",20000,0,No
3800,Goscale Technologies Pvt. Ltd. - IT,Bangalore,IT,"A7 , Any",25000,0,No
3833,Groww - Software Development,Bangalore,IT,"A7 , H103 , AnyA7",51000,51000,No
4858,HealthRx by Bajaj Finserv Health Ltd.,Pune,IT,"A3 , A7 , AA",50000,0,No
4827,Heraizen Technologies Pvt Ltd,Bangalore,IT,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB",10000,0,No
4223,i-exceed Technology Solutions,Bangalore,IT,"A3 , A7 , A8 , AA , B4",24000,0,No
4890,Jupiter,Mumbai,IT,"A3 , A4 , A7 , A8 , B4 , C7 , B4A7",50000,0,No
3251,Kristal.AI,Bangalore,IT,"A3 , A7 , A8",50000,0,No
4821,LOGIQ LABS Pvt Ltd ( eShipz.com ),Bangalore,IT,"A3 , A7",20000,0,No
4217,MBB Labs Pvt. Ltd.,Bangalore,IT,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB",35000,35000,No
